modulo,nombre,fuente,url,ruta_local,estado,volumen,por_que_testear_con_este,prioridad,notas
scorecard,Give Me Some Credit,Kaggle,https://www.kaggle.com/competitions/GiveMeSomeCredit,raw/scorecard/give_me_some_credit/,descargado,150k x 10,Benchmark de CI con AUC ~0.86 conocido en la literatura: verifica que el pipeline no degrado entre versiones,1,Reglas aceptadas 2026-07-25
scorecard,Home Credit Default Risk,Kaggle,https://www.kaggle.com/competitions/home-credit-default-risk,raw/scorecard/home_credit/,descargado,300k + 7 tablas,"Feature engineering relacional: bureau externo, saldos y pagos previos con agregaciones a multiples niveles",3,Reglas aceptadas 2026-07-25
behavioral,Berka / PKDD'99,Kaggle,https://www.kaggle.com/datasets/marceloventura/the-berka-dataset,raw/behavioral/berka/,descargado,1.05M transacciones / 682 creditos,"Unico con transacciones crudas de cuenta corriente: construir el feature store desde el movimiento bancario (saldo promedio, volatilidad de ingreso, dias en descubierto). Ademas es low-default portfolio -> obliga a Firth o calibracion bayesiana",3,8 tablas relacionales
behavioral,Home Credit - Model Stability,Kaggle,https://www.kaggle.com/competitions/home-credit-credit-risk-model-stability,raw/behavioral/home_credit_stability/,descargado (zip 3.2 GB),Parquet multi-tabla,"UNICO dataset disenado para medir degradacion temporal: su metrica oficial penaliza la caida de Gini en el tiempo. Banco de pruebas natural del modulo de monitoreo (PSI, CSI, drift)",2,Reglas aceptadas 2026-07-25
behavioral,AMEX Default Prediction,Kaggle,https://www.kaggle.com/competitions/amex-default-prediction,raw/behavioral/amex/,OMITIDO por espacio,5.5M filas / 13 meses por cliente,"Behavioral scoring con series mensuales reales de saldo, gasto y pago. Tambien sirve de proxy de CCF revolvente",6,~50 GB; quedan 20 GB libres. AMEX=1 bash descargar.sh kaggle
ifrs9,mortgage.csv (Baesens / Roesch / Scheule),creditriskanalytics.net,http://www.creditriskanalytics.net/uploads/1/9/5/1/19511601/mortgage_csv.rar,raw/ifrs9/mortgage.csv,descargado,622489 filas (50000 x 60 trimestres),"EL MAS IMPORTANTE. (1) PD marginal por edad -> curva de hazard, base del lifetime ECL. (2) payoff_time = prepago como riesgo competitivo: tratarlo como censura no informativa SOBRESTIMA el ECL lifetime. (3) macro por periodo incorporado -> forward-looking end-to-end. (4) LTV dinamico -> SICR por deterioro de garantia, no solo por mora",1,Venia en un .rar no listado en la pagina; ya extraido
ifrs9,Freddie Mac SFLLD,Freddie Mac,https://claritydownload.fmapps.freddiemac.com/CRT/#/sflld,raw/ifrs9/freddiemac/,descargado completo: 27 vintages 1999-2025 (1.0 GB),27 vintages x 50.000 originaciones + performance mensual,Mismo ejercicio que mortgage.csv pero con volumen y credibilidad de venta: un cliente acepta 'validado sobre el universo Freddie Mac'. Ademas permite derivar LGD real (net sales proceeds - gastos vs UPB al default),1,Muestreo hecho por Freddie Mac -> defendible sin justificar diseno muestral propio. Mejor ratio valor/disco del catalogo: no borrar
ifrs9,Fannie Mae Loan Performance,Fannie Mae,https://loanperformancedata.fanniemae.com/lppub/index.html,,FALTA REGISTRO,Acquisition + performance trimestral,"Validacion out-of-sample cruzada contra Freddie: mismo formato conceptual, distinto originador",4,Registro gratis
lgd,LGD.csv (Baesens),creditriskanalytics.net,http://www.creditriskanalytics.net/uploads/1/9/5/1/19511601/lgd.csv,raw/lgd/lgd.csv,descargado,2545 obs (banco europeo),"UNICA LGD publica citable en un informe. Su valor esta en la forma: LGD real es BIMODAL (masa en 0 y en 1) -> rompe la regresion lineal y obliga a implementar regresion beta, transformacion logit o modelo de dos etapas",1,Muestra chica; cabe en un test
lgd,Bondora,Bondora,https://www.bondora.com/en/public-statistics/,raw/lgd/bondora_loan_dataset.xlsx,descargado,160 MB (2009-hoy),"Trae PrincipalRecovery y RecoveryStage CON FECHAS -> curvas de recuperacion en el tiempo, no una LGD puntual. Permite probar el descuento de flujos de recuperacion a la tasa efectiva original (requisito IFRS 9 que casi nadie implementa bien)",3,"Cobranza P2P: sirve para la mecanica, no para calibrar banca"
stress,Fed 2026 Supervisory Scenarios,Federal Reserve,https://www.federalreserve.gov/supervisionreg/dfa-stress-tests-2026.htm,raw/stress/fed/,descargado,18 variables x 13 trimestres x 3 escenarios,Escenarios REGULATORIOS REALES de 2026 (baseline/adverse/severely adverse). El House Price Index y el desempleo enlazan directo con mortgage.csv -> stress end-to-end: escenario -> PD condicionada -> ECL proyectado. Defendible ante regulador por ser el oficial,1,CSV domestico e internacional
stress,DFAST 2026 public results,Federal Reserve,https://www.federalreserve.gov/supervisionreg/files/public_results_DFAST_2026.csv,raw/stress/fed/,descargado,188 KB,GROUND TRUTH: resultados publicados banco por banco. Corres tu modelo sobre el severely adverse y comparas tu perdida proyectada contra lo que reporto la industria,1,
stress,EBA stress test 2025 - base completa,EBA,https://www.eba.europa.eu/eu-wide-stress-test-2025,raw/stress/eba/,descargado,60 MB (IRB) + 80 MB (STA),"Exposiciones por banco, escenario, cartera y STAGE IFRS 9, separadas IRB vs estandar. Unico lugar para verificar si tu migracion de stages bajo escenario adverso se parece a la de 64 bancos europeos reales. Si mandas 40% a stage 2 y la industria reporto 12%, tu SICR esta mal",2,Columna IFRS9_Stages
stress,EBA macro financial scenario 2025,EBA,https://www.eba.europa.eu/eu-wide-stress-test-2025,raw/stress/eba/,descargado,276 KB,Segunda jurisdiccion: prueba que el motor de escenarios no esta hardcodeado a variables del Fed,3,
basilea,EBA Transparency Exercise 2025,EBA,https://www.eba.europa.eu/eu-wide-transparency-exercise-0,raw/basilea/eba_tr_cre.csv,descargado,"128 MB (credito) + sov/oth/mrk; 119 bancos, 25 paises","NO es dataset de entrenamiento: para Basilea no existe. Es el BENCHMARK DE RAZONABILIDAD sobre COREP/FINREP reales. Responde la pregunta que el cliente si va a hacer: 'tu modelo me da densidad de RWA 45%, esta bien?' -> 'el rango de 119 bancos europeos es X-Y, estas en el percentil Z'",2,eba_SDD.xlsx y eba_TR_Metadata.xlsx son los diccionarios
basilea,EBA IRB Benchmarking Exercise,EBA,https://www.eba.europa.eu/risk-and-data-analysis/benchmarking-exercises,,no descargado,Bancos IRB UE,Dispersion de parametros IRB entre bancos: justifica rangos razonables de PD y LGD,4,
basilea,FFIEC Call Reports,FFIEC,https://cdr.ffiec.gov/public/,,no descargado,Todos los bancos US (trimestral),Balances y capital para benchmark de solvencia,5,Bulk download gratis
fairness,HMDA 2025 California,FFIEC / CFPB,https://ffiec.cfpb.gov/data-publication/modified-lar,raw/fairness/hmda_2025_CA.csv,descargado,1161293 solicitudes (433 MB),"UNICO dataset del mundo con atributos protegidos Y decision de credito real (derived_race, derived_sex, derived_ethnicity, action_taken, denial_reason). Permite disparate impact, equal opportunity difference y sobre todo PROXY DISCRIMINATION: que el scorecard no discrimine via codigo postal aunque no use raza. Diferenciador comercial para validacion de modelos",2,"Bajado via data browser API, sin registro"
fairness,HMDA 2024 Rhode Island (muestra),FFIEC / CFPB,https://ffiec.cfpb.gov/data-publication/modified-lar,raw/fairness/hmda_2024_RI_muestra.csv,descargado,41977 solicitudes (15 MB),Version chica del anterior para tests rapidos en CI,3,
fairness,Adult / Census Income,UCI,https://archive.ics.uci.edu/dataset/2/adult,raw/fairness/adult_census.zip,descargado,48842,"Test unitario de las metricas de equidad: los valores esperados estan publicados en la literatura. Verifica la implementacion, no concluye nada crediticio",5,No es crediticio
macro,FRED - series de credito y macro,St. Louis Fed,https://fred.stlouisfed.org,raw/macro/,descargado,8 series,"DRSFRMACBS/DRCCLACBS/DRALACBS (mora hipotecaria, tarjetas, total) son el BACKTESTING del forward-looking: tu modelo proyecta una tasa de default agregada bajo escenario macro y estas series dicen que paso de verdad. Unica forma de validar que el enlace macro->PD no es decorativo",2,CSV directo sin API key
chile,CMF morosidad 90+ por institucion,CMF,https://www.cmfchile.cl/portal/estadisticas/626/w4-propertyvalue-28914.html,raw/chile/,descargado,12 meses (jun-2025 a may-2026),"UNICA referencia local. Mora 90+ por institucion y por cartera (comercial/consumo/vivienda). Dos usos de venta: (1) calibrar la matriz estandar de la Circular 3.573, (2) benchmark contra el cliente cuando un banco chileno pregunte como se compara con el sistema",2,"Agregado, no loan-level. El portal 'Datos Abiertos' de la CMF esta vacio; URLs tipo articles-NNNNNN_recurso_1.xlsx"
chile,Encuesta Financiera de Hogares (EFH 2024),Banco Central de Chile,https://www.efhweb.cl,,FALTA REGISTRO,4649 hogares,"Lo mas cercano a microdatos crediticios chilenos que existe: deuda por tipo, carga financiera, ingreso. Es encuesta, no registro administrativo",2,Registro en efhweb.cl
chile,Base de Datos Estadisticos (BDE),Banco Central de Chile,https://si3.bcentral.cl/siete,,no descargado,Series macro CL,"IMACEC, desempleo, IPC, TPM, UF: el equivalente a FRED para armar escenarios chilenos",3,
corporativo,Polish Companies Bankruptcy,UCI,https://archive.ics.uci.edu/dataset/365/polish+companies+bankruptcy+data,raw/corporativo/polish_bankruptcy.zip,descargado,"~43k obs, 64 ratios, 5 horizontes",PD corporativa MULTI-HORIZONTE: 5 archivos = 5 horizontes de prediccion (1 a 5 anos). Prueba que el modelo de termino estructural degrada coherentemente con el plazo. Muy desbalanceado,4,
corporativo,Taiwanese Bankruptcy Prediction,UCI,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction,raw/corporativo/taiwanese_bankruptcy.zip,descargado,6819 x 96 ratios,Benchmark de Altman Z-score vs ML sobre 96 ratios financieros: prueba si el modelo aporta sobre la formula clasica,4,Etiqueta segun regulacion bolsa Taiwan
corporativo,ratings.csv (Baesens),creditriskanalytics.net,http://www.creditriskanalytics.net/uploads/1/9/5/1/19511601/ratings.csv,raw/corporativo/ratings.csv,descargado,Ratings corporativos,Variable objetivo ORDINAL (no binaria): prueba el modulo de rating con logit ordenado y verifica que respeta el orden de las categorias,4,
corporativo,SEC Financial Statement Data Sets,SEC DERA,https://www.sec.gov/dera/data/financial-statement-data-sets,,no descargado,Todos los filers US (trimestral),Construir ratios propios y Z-score desde XBRL. El evento de default hay que armarlo aparte,5,
transicion,S&P Annual Global Corporate Default and Rating Transition Study,S&P Global,https://www.spglobal.com/ratings,,FALTA REGISTRO,Matrices 1981-2025,Matrices de transicion 1 ano y multi-ano para validar migracion de ratings. Vienen en PDF: tipear una vez y versionar en el repo,4,Registro gratis
transicion,Freddie Mac (derivado),Freddie Mac,https://claritydownload.fmapps.freddiemac.com/CRT/#/sflld,raw/ifrs9/freddiemac/,descargado (1999-2025),55M hipotecas,"Matriz de transicion de ESTADOS DE MORA (0-30-60-90-default) construida loan-level. Es la que importa para IFRS 9, no la de ratings corporativos",1,
fraude,Credit Card Fraud Detection (ULB),Kaggle,https://www.kaggle.com/datasets/mlg-ulb/creditcardfraud,raw/fraude/creditcard_ulb/creditcard.csv,descargado,284807 (0.17% positivos),Desbalance extremo (1 en 578): caso limite del modulo de metricas. AUC-ROC se ve excelente y es enganoso; hay que usar AUC-PR. Prueba que las metricas no mienten con clase positiva rarisima (situacion real en carteras de bajo default),4,PCA anonimizado
fraude,IEEE-CIS Fraud Detection,Kaggle,https://www.kaggle.com/competitions/ieee-fraud-detection,,no descargado,590k transacciones,Features de identidad y dispositivo,5,
